,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Daerah,Kriteria Utama,Opini BPK atas LKPD,Penetapan Perda APBD Tepat Waktu,Penggunaan e-procurement,Memenuhi/Tidak Memenuhi Kriteria Utama,Kategori Kinerja,Kesehatan Fiskal dan Pengelolaan Keuangan Daerah,Pelayanan Dasar Publik,Infrastruktur,Kesehatan,Pendidikan,Pelayanan Pemerintahan Umum,Inovasi Pelayanan Publik,Kemudahan Investasi,Penyelenggaraan Pemerintahan,Perencanaan Daerah,Sistem Akuntabilitas Kinerja Instansi Pemerintah,Kesejahteraan Masyarakat
81,Kab. Indragiri Hilir,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,66",-,"69,14","40,17","72,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,00"
82,Kab. Indragiri Hulu,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,73",-,"61,17","69,63","74,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,48"
83,Kab. Kampar,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,21",-,"68,06","72,10","69,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,74"
84,Kab. Kuantan Singingi,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"42,11",-,"66,14","65,92","64,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,66"
85,Kab. Pelalawan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,91",-,"73,91","55,33","64,65",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,69"
86,Kab. Rokan Hilir,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"42,74",-,"66,52","67,59","69,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,99"
87,Kab. Rokan Hulu,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"60,70",-,"61,82","74,13","70,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,11"
88,Kab. Siak,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"38,64",-,"72,66","70,65","69,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,74"
89,Kota Dumai,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"73,66",-,"82,77","74,47","56,30",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,32"
90,Kota Pekanbaru,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,61",-,"81,36","82,86","51,34",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,40"
91,Kab. Kepulauan Meranti,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,72",-,"67,95","69,69","80,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,80"
92,Provinsi Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,21",-,"67,91","55,74","56,85",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,47"
93,Kab. Batang Hari,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,80",-,"46,01","81,11","75,99",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,88"
94,Kab. Bungo     ,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"40,40",-,"64,01","75,86","71,59",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,20"
95,Kab. Kerinci,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,14",-,"64,58","65,20","78,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,"91,25"
96,Kab. Merangin,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,52",-,"67,87","67,61","69,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,99"
97,Kab. Muaro Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,26",-,"72,40","63,23","66,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"85,88"
98,Kab. Sarolangun,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,81",-,"61,44","79,26","65,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,49"
99,Kab. Tanjung Jabung Barat,-,TMP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"65,31",-,"64,85","58,34","70,23",-,Tidak,Tidak,Tidak,Tidak,Tidak,"87,04"
100,Kab. Tanjung Jabung Timur,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,74",-,"62,91","42,31","76,69",-,Tidak,Tidak,Tidak,Tidak,Tidak,"84,67"
101,Kab. Tebo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,58",-,"78,30","54,05","64,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,12"
102,Kota Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,67",-,"61,37","60,43","46,05",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,03"
103,Kota Sungai Penuh,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,42",-,"67,16","62,62","69,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,73"
104,Provinsi Sumatera Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,47",-,"43,95","82,20","61,82",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,95"
105,Kab. Lahat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,62",-,"65,32","67,79","63,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,38"
106,Kab. Musi Banyuasin,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,11",-,"63,08","77,69","62,16",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,86"
107,Kab. Musi Rawas,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,53",-,"71,49","83,52","78,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,82"
108,Kab. Muara Enim,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,22",-,"64,39","70,68","69,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,"86,38"
109,Kab. Ogan Komering Ilir,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"49,71",-,"64,45","70,72","58,12",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,12"
110,Kab. Ogan Komering Ulu,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,94",-,"60,12","70,16","71,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,37"
111,Kota Palembang ,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,62",-,"71,47","73,67","40,28",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,58"
112,Kota Prabumulih,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,44",-,"71,14","80,02","58,89",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,76"
113,Kota Pagar Alam,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,79",-,"42,94","73,37","52,28",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,69"
114,Kota Lubuk Linggau,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,70",-,"73,20","68,28","52,13",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,46"
115,Kab. Banyuasin,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,95",-,"64,19","79,98","70,98",-,Tidak,Tidak,Tidak,Tidak,Tidak,"86,68"
116,Kab. Ogan Ilir,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,13",-,"58,40","55,46","60,98",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,92"
117,Kab. OKU Timur,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,83",-,"53,92","63,16","45,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,"50,50"
118,Kab. OKU Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,00",-,"54,65","56,99","70,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,"86,42"
119,Kab. Empat Lawang,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"55,51",-,"34,79","93,15","62,55",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,00"
120,Kab. Penukal Abab Lematang Ilir,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"70,68",-,"57,64","80,37","77,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,45"
121,Kab. Musi Rawas Utara,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"69,89",-,"67,16","63,04","77,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,99"
122,Provinsi  Bengkulu,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"58,44",-,"52,83","58,51","55,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,40"
123,Kab. Bengkulu Selatan,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,21",-,"64,52","76,89","50,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,57"
124,Kab. Bengkulu Utara,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"56,63",-,"38,09","64,31","67,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,98"
125,Kab. Rejang Lebong,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"57,59",-,"37,61","60,28","62,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,14"
126,Kota Bengkulu,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"61,30",-,"68,72","51,66","72,58",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,38"
127,Kab. Kaur,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"67,41",-,"51,62","60,57","55,46",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,73"
128,Kab. Seluma,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"53,29",-,"39,80","56,32","61,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,21"
