"Daerah","Alokasi Dasar","Alokasi Afirmasi","Alokasi Formula","Total Alokasi","Jumlah Desa","Jumlah Penduduk","Jumlah Penduduk Miskin","Luas Wilayah","IKK"
"Kab. Kapuas","131897830000.00","1260392000.00","26915377000.00","160073599000.00","214.00","311800.00","20758.00","14399.18","87.27"
"Kab. Kotawaringin Barat","49923945000.00","0.00","15921813000.00","65845758000.00","81.00","134564.00","2432.00","8872.16","89.37"
"Kab. Kotawaringin Timur","103545960000.00","630196000.00","25306904000.00","129483060000.00","168.00","224045.00","12019.00","15044.71","94.33"
"Kab. Katingan","94917130000.00","1417941000.00","26774885000.00","123109956000.00","154.00","119664.00","13917.00","16743.73","94.19"
"Kab. Seruyan","59785465000.00","0.00","24696744000.00","84482209000.00","97.00","120341.00","7906.00","16027.51","95.67"
"Kab. Sukamara","17874005000.00","0.00","10403196000.00","28277201000.00","29.00","36736.00","1026.00","3477.85","102.88"
"Kab. Lamandau","52389325000.00","0.00","13036458000.00","65425783000.00","85.00","60407.00","2184.00","6069.32","96.66"
"Kab. Gunung Mas","70263330000.00","0.00","16943639000.00","87206969000.00","114.00","85990.00","4467.00","9076.04","99.60"
"Kab. Pulang Pisau","58552775000.00","1260392000.00","18547189000.00","78360356000.00","95.00","115515.00","12791.00","8648.40","96.66"
"Kab. Murung Raya","71496020000.00","0.00","30680160000.00","102176180000.00","116.00","68055.00","3637.00","22212.52","114.62"
"Kab. Barito Timur","62250845000.00","315098000.00","11218632000.00","73784575000.00","101.00","84006.00","4411.00","3727.44","93.87"
"Kab. Banjar","170727565000.00","315098000.00","17839279000.00","188881942000.00","277.00","437701.00","17285.00","4616.35","98.66"
"Kab. Barito Kuala","120187275000.00","0.00","12716796000.00","132904071000.00","195.00","277495.00","6922.00","2858.67","101.76"
"Kab. Hulu Sungai Selatan","88753680000.00","1417941000.00","14905372000.00","105076993000.00","144.00","200548.00","22431.00","1792.12","101.56"
"Kab. Hulu Sungai Tengah","99231545000.00","630196000.00","13186714000.00","113048455000.00","161.00","220713.00","16443.00","1454.93","100.62"
"Kab. Hulu Sungai Utara","131897830000.00","5829313000.00","18095594000.00","155822737000.00","214.00","203201.00","37494.00","887.32","108.22"
"Kab. Kotabaru","122036310000.00","1575490000.00","21335250000.00","144947050000.00","198.00","300332.00","14743.00","9443.10","101.70"
"Kab. Tabalong","74577745000.00","2678333000.00","16283563000.00","93539641000.00","121.00","181892.00","20645.00","3699.56","102.03"
"Kab. Tanah Laut","80124850000.00","157549000.00","13340229000.00","93622628000.00","130.00","302645.00","7629.00","3569.01","95.03"
"Kab. Tapin","77659470000.00","0.00","10905571000.00","88565041000.00","126.00","141598.00","5471.00","2542.73","97.65"
"Kab. Balangan","94917130000.00","0.00","10395414000.00","105312544000.00","154.00","111200.00","4899.00","1840.01","106.09"
"Kab. Tanah Bumbu","88753680000.00","157549000.00","16496502000.00","105407731000.00","144.00","277963.00","15217.00","4905.48","97.26"
"Kab. Berau","61634500000.00","0.00","29358225000.00","90992725000.00","100.00","116627.00","4884.00","20921.35","104.20"
"Kab. Kutai Kartanegara","118954585000.00","5829313000.00","35113172000.00","159897070000.00","193.00","460695.00","40457.00","15995.70","100.81"
"Kab. Kutai Barat","117105550000.00","315098000.00","30774541000.00","148195189000.00","190.00","135787.00","10327.00","20211.78","115.02"
"Kab. Kutai Timur","85671955000.00","3466078000.00","52041605000.00","141179638000.00","139.00","380919.00","28402.00","35477.21","115.63"
"Kab. Paser","85671955000.00","1733039000.00","19070893000.00","106475887000.00","139.00","207475.00","16413.00","7536.80","99.12"
"Kab. Penajam Paser Utara","18490350000.00","472647000.00","9646378000.00","28609375000.00","30.00","83061.00","3644.00","1757.00","103.25"
"Kab. Mahakam Ulu","30817250000.00","0.00","25546771000.00","56364021000.00","50.00","24455.00","4394.00","15315.00","144.21"
"Kab. Bolaang Mongondow","123269000000.00","945294000.00","16893188000.00","141107482000.00","200.00","236619.00","25224.00","2794.07","102.74"
"Kab. Minahasa","139910315000.00","0.00","11996302000.00","151906617000.00","227.00","265855.00","10321.00","1015.19","107.67"
"Kab. Kepulauan Sangihe","89370025000.00","0.00","10345775000.00","99715800000.00","145.00","106312.00","6625.00","406.76","121.96"
"Kab. Kepulauan Talaud","87520990000.00","0.00","10927146000.00","98448136000.00","142.00","84346.00","5278.00","1070.79","128.17"
"Kab. Minahasa Selatan","102929615000.00","1417941000.00","16052350000.00","120399906000.00","167.00","204223.00","26308.00","1384.63","110.95"
"Kab. Minahasa Utara","77043125000.00","0.00","12425334000.00","89468459000.00","125.00","192754.00","13403.00","891.35","112.15"
"Kab. Kep. Siau Tagulandang Biaro","51156635000.00","0.00","8770354000.00","59926989000.00","83.00","54513.00","2693.00","231.63","120.24"
"Kota Kotamobagu","9245175000.00","0.00","8185676000.00","17430851000.00","15.00","34633.00","2840.00","37.34","115.50"
"Kab. Bolaang Mongondow Utara","65332570000.00","0.00","10135717000.00","75468287000.00","106.00","86631.00","4793.00","1667.01","107.67"
"Kab. Minahasa Tenggara","83206575000.00","0.00","10118508000.00","93325083000.00","135.00","105440.00","7828.00","663.61","109.66"
"Kab. Bolaang Mongondow Timur","49923945000.00","0.00","9180664000.00","59104609000.00","81.00","84440.00","2600.00","912.04","113.19"
"Kab. Bolaang Mongondow Selatan","49923945000.00","0.00","9636656000.00","59560601000.00","81.00","66474.00","6480.00","1615.86","96.07"
"Kab. Banggai","179356395000.00","630196000.00","23487785000.00","203474376000.00","291.00","259006.00","29880.00","9024.45","88.33"
"Kab. Banggai Kepulauan","86904645000.00","315098000.00","11993967000.00","99213710000.00","141.00","112659.00","10989.00","2390.16","99.07"
"Kab. Buol","66565260000.00","157549000.00","12995896000.00","79718705000.00","108.00","106119.00","11315.00","3808.78","91.87"
"Kab. Toli-Toli","63483535000.00","0.00","12920865000.00","76404400000.00","103.00","154973.00","9173.00","3984.73","91.09"
"Kab. Donggala","97382510000.00","6932156000.00","19146141000.00","123460807000.00","158.00","265802.00","34612.00","4221.76","76.50"
"Kab. Morowali","77659470000.00","472647000.00","12081362000.00","90213479000.00","126.00","120816.00","10558.00","3022.96","91.20"
"Kab. Poso","87520990000.00","1890588000.00","21541955000.00","110953533000.00","142.00","171337.00","34518.00","6781.49","84.15"
"Kab. Parigi Moutong","171343910000.00","5986862000.00","29933635000.00","207264407000.00","278.00","422957.00","67717.00","5503.99","83.54"
"Kab. Tojo Una Una","82590230000.00","2520784000.00","18463971000.00","103574985000.00","134.00","123386.00","26373.00","5538.66","91.40"
"Kab. Sigi","108476720000.00","1417941000.00","17351666000.00","127246327000.00","176.00","247057.00","22492.00","5189.76","81.38"
"Kab. Banggai Laut","38829735000.00","157549000.00","8205396000.00","47192680000.00","63.00","52101.00","4737.00","707.09","95.96"
"Kab. Morowali Utara","75194090000.00","630196000.00","19579512000.00","95403798000.00","122.00","106980.00","13270.00","9868.14","92.73"
"Kab. Bantaeng","28351870000.00","630196000.00","9850182000.00","38832248000.00","46.00","115291.00","12936.00","320.75","90.00"
"Kab. Barru","24653800000.00","2520784000.00","14776271000.00","41950855000.00","40.00","111204.00","30872.00","988.91","88.86"
"Kab. Bone","202161160000.00","29776761000.00","57948578000.00","289886499000.00","328.00","657126.00","178287.00","4224.56","98.00"
"Kab. Bulukumba","67181605000.00","5829313000.00","22635488000.00","95646406000.00","109.00","308126.00","56907.00","1025.06","92.29"
"Kab. Enrekang","69030640000.00","8350097000.00","20388980000.00","97769717000.00","112.00","180764.00","46828.00","1647.56","98.85"
"Kab. Gowa","74577745000.00","5514215000.00","44615398000.00","124707358000.00","121.00","455573.00","143481.00","1542.82","83.84"
"Kab. Jeneponto","50540290000.00","5986862000.00","28876422000.00","85403574000.00","82.00","263517.00","85051.00","510.58","95.62"
"Kab. Luwu","127583415000.00","12446371000.00","26760275000.00","166790061000.00","207.00","315505.00","62889.00","3160.57","100.14"
"Kab. Luwu Utara","102313270000.00","9768038000.00","31720480000.00","143801788000.00","166.00","332044.00","67892.00","7046.44","96.27"
"Kab. Maros","49307600000.00","5199117000.00","19576678000.00","74083395000.00","80.00","262757.00","43423.00","1450.66","93.69"
"Kab. Pangkajene Kepulauan","40062425000.00","4411372000.00","15800465000.00","60274262000.00","65.00","170029.00","32852.00","763.11","95.01"
"Kab. Luwu Timur","76426780000.00","1890588000.00","21180191000.00","99497559000.00","124.00","279804.00","25735.00","6681.91","102.74"
"Kab. Pinrang","42527805000.00","2363235000.00","12179385000.00","57070425000.00","69.00","197762.00","14107.00","1348.00","97.69"
"Kab. Sinjai","41295115000.00","1890588000.00","15817886000.00","59003589000.00","67.00","180236.00","33184.00","712.16","93.75"
"Kab. Kepulauan Selayar","49923945000.00","6301960000.00","14531843000.00","70757748000.00","81.00","104956.00","27215.00","1267.02","95.36"
"Kab. Sidenreng Rappang","41911460000.00","1102843000.00","12524771000.00","55539074000.00","68.00","153267.00","15995.00","1488.11","98.28"
"Kab. Soppeng","30200905000.00","787745000.00","12872435000.00","43861085000.00","49.00","151651.00","18852.00","1209.42","97.36"
"Kab. Takalar","46842220000.00","4884019000.00","18579316000.00","70305555000.00","76.00","197290.00","46291.00","462.28","89.21"
"Kab. Tana Toraja","69030640000.00","13391665000.00","21091963000.00","103514268000.00","112.00","181524.00","48388.00","1642.24","104.03"
"Kab. Wajo","87520990000.00","1260392000.00","15438389000.00","104219771000.00","142.00","281724.00","22361.00","2114.04","96.76"
"Kab. Toraja Utara","68414295000.00","14652057000.00","26535273000.00","109601625000.00","111.00","159607.00","74589.00","995.25","101.91"
"Kab. Buton","51156635000.00","945294000.00","11239372000.00","63341301000.00","83.00","89880.00","14658.00","1005.69","97.23"
"Kab. Konawe","183054465000.00","630196000.00","17789242000.00","201473903000.00","297.00","174486.00","22962.00","5018.50","96.83"
"Kab. Kolaka","61634500000.00","1417941000.00","12122008000.00","75174449000.00","100.00","106519.00","14695.00","2144.11","91.30"
"Kab. Muna","77043125000.00","6774607000.00","18755164000.00","102572896000.00","125.00","152667.00","40495.00","1542.30","101.93"
"Kab. Konawe Selatan","207091920000.00","157549000.00","17767285000.00","225016754000.00","336.00","281174.00","19763.00","5436.38","91.12"
"Kab. Bombana","74577745000.00","2048137000.00","14014104000.00","90639986000.00","121.00","99225.00","19152.00","2675.05","96.52"
"Kab. Wakatobi","46225875000.00","472647000.00","10746027000.00","57444549000.00","75.00","67489.00","12063.00","514.52","109.58"
"Kab. Kolaka Utara","78275815000.00","8350097000.00","19819971000.00","106445883000.00","127.00","121975.00","38608.00","3300.48","101.42"
"Kab. Konawe Utara","97998855000.00","0.00","12382329000.00","110381184000.00","159.00","55080.00","8607.00","4370.84","88.93"
"Kab. Buton Utara","48074910000.00","472647000.00","11326319000.00","59873876000.00","78.00","45067.00","8780.00","1743.12","114.33"
"Kab. Konawe Kepulauan","55471050000.00","315098000.00","9522409000.00","65308557000.00","90.00","30132.00","8384.50","643.05","106.15"
"Kab. Kolaka Timur","72112365000.00","315098000.00","12184164000.00","84611627000.00","117.00","87000.00","12426.00","2871.52","91.53"
"Kab. Muna Barat","49923945000.00","3466078000.00","13428396000.00","66818419000.00","81.00","71758.00","21835.00","1040.31","105.68"
"Kab. Buton Tengah","41295115000.00","1733039000.00","11268150000.00","54296304000.00","67.00","75471.00","13420.00","861.56","106.29"
"Kab. Buton Selatan","36980700000.00","2678333000.00","11188250000.00","50847283000.00","60.00","77119.00","15947.00","352.20","103.16"
"Kab. Badung","28351870000.00","157549000.00","13793171000.00","42302590000.00","46.00","268016.00","18767.00","314.86","114.54"
"Kab. Bangli","41911460000.00","472647000.00","10473563000.00","52857670000.00","68.00","235856.00","6052.00","476.19","111.63"
"Kab. Buleleng","79508505000.00","2363235000.00","25168037000.00","107039777000.00","129.00","701813.00","48977.00","1278.41","118.47"
"Kab. Gianyar","39446080000.00","0.00","12525463000.00","51971543000.00","64.00","442591.00","9295.00","344.06","112.40"
"Kab. Jembrana","25270145000.00","315098000.00","13806481000.00","39391724000.00","41.00","237480.00","18346.00","731.03","112.93"
"Kab. Karangasem","46225875000.00","157549000.00","17856195000.00","64239619000.00","75.00","496569.00","29375.00","805.19","106.66"
"Kab. Klungkung","32666285000.00","157549000.00","10452665000.00","43276499000.00","53.00","190532.00","10503.00","309.85","101.40"
"Kab. Tabanan","81973885000.00","0.00","19748107000.00","101721992000.00","133.00","466647.00","34608.00","1013.88","116.36"
"Kota Denpasar","16641315000.00","0.00","10763660000.00","27404975000.00","27.00","395443.00","4679.00","75.02","111.37"
"Kab. Bima","117721895000.00","8192548000.00","30862418000.00","156776861000.00","191.00","524677.00","75999.00","3397.89","89.23"
"Kab. Dompu","44376840000.00","630196000.00","16691752000.00","61698788000.00","72.00","166933.00","30972.00","2188.15","94.14"
"Kab. Lombok Barat","73345055000.00","5514215000.00","49462008000.00","128321278000.00","119.00","690760.00","157394.00","888.50","93.21"
"Kab. Lombok Tengah","78275815000.00","4726470000.00","72442313000.00","155444598000.00","127.00","950915.00","244817.00","1058.01","91.26"
"Kab. Lombok Timur","147306455000.00","9610489000.00","95794758000.00","252711702000.00","239.00","1191836.00","334700.00","1193.78","88.25"
"Kab. Sumbawa","96766165000.00","2205686000.00","24937557000.00","123909408000.00","157.00","447782.00","40390.00","6567.93","90.22"
"Kab. Sumbawa Barat","35131665000.00","2993431000.00","14384337000.00","52509433000.00","57.00","99600.00","24198.00","1749.12","97.58"
"Kab. Lombok Utara","20339385000.00","1102843000.00","27991426000.00","49433654000.00","33.00","233691.00","83849.00","776.25","85.02"
"Kab. Alor","97382510000.00","17960586000.00","24556438000.00","139899534000.00","158.00","155616.00","59230.00","2650.41","103.92"
"Kab. Belu","42527805000.00","9295391000.00","20627977000.00","72451173000.00","69.00","133939.00","53759.00","1226.92","87.36"
"Kab. Ende","157167975000.00","2205686000.00","15883460000.00","175257121000.00","255.00","175586.00","28081.00","1940.16","95.50"
"Kab. Flores Timur","141143005000.00","630196000.00","13538186000.00","155311387000.00","229.00","234702.00","14781.00","1729.90","106.84"
"Kab. Kupang","98615200000.00","12603920000.00","25301326000.00","136520446000.00","160.00","326493.00","51507.00","5144.08","88.23"
"Kab. Lembata","88753680000.00","6774607000.00","18940172000.00","114468459000.00","144.00","99655.00","45888.00","1231.34","94.44"
"Kab. Manggarai","89370025000.00","13076567000.00","23338730000.00","125785322000.00","145.00","238306.00","57780.00","1816.18","94.79"
"Kab. Ngada","83206575000.00","787745000.00","12529967000.00","96524287000.00","135.00","130325.00","16859.00","1483.70","97.47"
"Kab. Sikka","90602715000.00","11501077000.00","22908902000.00","125012694000.00","147.00","246552.00","57846.00","1647.55","89.50"
"Kab. Sumba Barat","38829735000.00","8034999000.00","20327436000.00","67192170000.00","63.00","107375.00","45692.00","2035.48","103.73"
"Kab. Sumba Timur","86288300000.00","2363235000.00","19822461000.00","108473996000.00","140.00","156288.00","25113.00","6749.04","95.26"
"Kab. Timor Tengah Selatan","163947770000.00","26783330000.00","42955645000.00","233686745000.00","266.00","423369.00","125864.00","3897.50","91.49"
"Kab. Timor Tengah Utara","98615200000.00","14652057000.00","24563799000.00","137831056000.00","160.00","166590.00","66263.00","2165.67","83.34"
"Kab. Rote Ndao","69030640000.00","4096274000.00","18698078000.00","91824992000.00","112.00","153130.00","40333.00","1465.69","102.82"
"Kab. Manggarai Barat","101080580000.00","8665195000.00","18147672000.00","127893447000.00","164.00","235503.00","35282.00","2311.17","91.57"
"Kab. Nagekeo","59785465000.00","3308529000.00","12859720000.00","75953714000.00","97.00","115192.00","19403.00","1149.53","99.77"
"Kab. Sumba Barat Daya","106627685000.00","25838036000.00","54170730000.00","186636451000.00","173.00","299077.00","183319.00","1465.04","99.42"
"Kab. Sumba Tengah","40062425000.00","5356666000.00","13852456000.00","59271547000.00","65.00","84174.00","21106.00","1868.74","100.78"
"Kab. Manggarai Timur","97998855000.00","24892742000.00","37964512000.00","160856109000.00","159.00","220086.00","116032.00","2325.63","96.15"
"Kab. Sabu Raijua","35748010000.00","9768038000.00","17982572000.00","63498620000.00","58.00","82315.00","40917.00","472.80","112.33"
"Kab. Malaka","78275815000.00","2835882000.00","14084949000.00","95196646000.00","127.00","190561.00","24719.00","1160.63","90.69"
"Kab. Maluku Tenggara Barat","49307600000.00","3466078000.00","18323680000.00","71097358000.00","80.00","107571.00","23644.00","4466.22","118.49"
"Kab. Maluku Tengah","114640170000.00","4411372000.00","31510047000.00","150561589000.00","186.00","378820.00","60227.00","7715.38","107.11"
"Kab. Maluku Tenggara","117105550000.00","630196000.00","14138419000.00","131874165000.00","190.00","115313.00","15268.00","1497.53","130.67"
"Kab. Buru","50540290000.00","315098000.00","15008011000.00","65863399000.00","82.00","130696.00","6985.00","4917.16","120.57"
"Kota Ambon","18490350000.00","472647000.00","11816405000.00","30779402000.00","30.00","228620.00","14400.00","256.21","104.95"
"Kab. Seram Bagian Barat","56703740000.00","5829313000.00","23784990000.00","86318043000.00","92.00","208009.00","43940.00","5033.38","107.47"
"Kab. Seram Bagian Timur","122036310000.00","787745000.00","17241541000.00","140065596000.00","198.00","133353.00","12548.00","6249.48","113.14"
"Kab. Kepulauan Aru","72112365000.00","315098000.00","18124922000.00","90552385000.00","117.00","63046.00","7659.00","8112.58","123.83"
"Kota Tual","16641315000.00","1260392000.00","10757938000.00","28659645000.00","27.00","55970.00","7618.00","219.89","132.91"
"Kab. Maluku Barat Daya","72112365000.00","3150980000.00","18410982000.00","93674327000.00","117.00","66734.00","17706.00","4581.06","145.34"
"Kab. Buru Selatan","48691255000.00","7562352000.00","17787631000.00","74041238000.00","79.00","72993.00","21245.00","3763.44","134.04"
"Kab. Biak Numfor","156551630000.00","2205686000.00","22205443000.00","180962759000.00","254.00","85261.00","42093.00","2523.11","142.21"
"Kab. Jayapura","85671955000.00","1575490000.00","24723291000.00","111970736000.00","139.00","102567.00","19360.00","10756.73","137.54"
"Kab. Jayawijaya","202161160000.00","5199117000.00","33572664000.00","240932941000.00","328.00","217818.00","29002.00","6935.74","290.37"
"Kab. Merauke","110325755000.00","10083136000.00","62058492000.00","182467383000.00","179.00","126008.00","28421.00","43866.52","168.31"
"Kab. Mimika","81973885000.00","6774607000.00","34025398000.00","122773890000.00","133.00","84104.00","26833.00","17720.47","148.00"
"Kab. Nabire","44376840000.00","6617058000.00","25890939000.00","76884837000.00","72.00","79926.00","23901.00","10342.60","147.53"
"Kab. Paniai","133130520000.00","7404803000.00","32869250000.00","173404573000.00","216.00","104658.00","43644.00","7488.20","225.31"
"Kab. Puncak Jaya","186136190000.00","10240685000.00","47172656000.00","243549531000.00","302.00","212806.00","55300.00","4998.42","436.94"
"Kab. Kepulauan Yapen","98615200000.00","2993431000.00","18074318000.00","119682949000.00","160.00","71044.00","27261.00","1914.49","144.96"
"Kota Jayapura","8628830000.00","0.00","9836230000.00","18465060000.00","14.00","32790.00","452.00","304.15","147.06"
"Kab. Sarmi","56703740000.00","0.00","27162271000.00","83866011000.00","92.00","29667.00","5718.80","13772.97","188.91"
"Kab. Keerom","56087395000.00","3623627000.00","25392059000.00","85103081000.00","91.00","59411.00","16865.00","10847.77","160.94"
"Kab. Yahukimo","314335950000.00","3150980000.00","40466102000.00","357953032000.00","510.00","348340.00","25264.00","16883.06","242.78"
"Kab. Pegunungan Bintang","170727565000.00","1575490000.00","46715602000.00","219018657000.00","277.00","107353.00","24072.00","15682.00","391.44"
"Kab. Tolikara","333442645000.00","0.00","31992963000.00","365435608000.00","541.00","241235.00","11386.00","5669.50","351.23"
"Kab. Boven Digoel","69030640000.00","0.00","38895055000.00","107925695000.00","112.00","58093.00","1571.00","27454.29","171.29"
"Kab. Mappi","99847890000.00","0.00","35417215000.00","135265105000.00","162.00","86497.00","1768.00","23157.61","180.53"
"Kab. Asmat","136212245000.00","0.00","48390813000.00","184603058000.00","221.00","103074.00","5348.00","31987.73","231.32"
"Kab. Waropen","61634500000.00","0.00","22315563000.00","83950063000.00","100.00","32541.00","3230.00","11129.57","163.01"
"Kab. Supiori","23421110000.00","0.00","10685051000.00","34106161000.00","38.00","21014.00","1763.00","678.32","150.79"
"Kab. Mamberamo Raya","36980700000.00","0.00","36645316000.00","73626016000.00","60.00","33197.00","70.00","24381.88","192.76"
"Kab. Mamberamo Tengah","36364355000.00","315098000.00","27623375000.00","64302828000.00","59.00","44788.00","3138.00","1288.72","403.74"
"Kab. Yalimo","184903500000.00","0.00","24920898000.00","209824398000.00","300.00","118829.00","5059.00","1384.27","343.90"
"Kab. Lanny Jaya","218186130000.00","315098000.00","27892299000.00","246393527000.00","354.00","191470.00","14000.00","2399.39","332.92"
"Kab. Nduga","152853560000.00","0.00","24484654000.00","177338214000.00","248.00","106354.00","6966.00","2168.00","318.34"
"Kab. Dogiyai","48691255000.00","1575490000.00","19454627000.00","69721372000.00","79.00","112513.00","5653.00","4236.51","209.49"
"Kab. Puncak","126967070000.00","315098000.00","39296664000.00","166578832000.00","206.00","158406.00","8226.00","6847.84","469.96"
"Kab. Intan Jaya","59785465000.00","0.00","32401270000.00","92186735000.00","97.00","137050.00","4728.00","4534.49","412.52"
"Kab. Deiyai","41295115000.00","3150980000.00","17598826000.00","62044921000.00","67.00","88145.00","9034.00","472.06","229.29"
"Kab. Halmahera Tengah","37597045000.00","315098000.00","12533420000.00","50445563000.00","61.00","50164.00","6412.00","2637.07","128.01"
"Kab. Halmahera Barat","104162305000.00","157549000.00","12334431000.00","116654285000.00","169.00","131869.00","8413.00","1703.94","123.44"
"Kab. Halmahera Timur","62867190000.00","2520784000.00","18590457000.00","83978431000.00","102.00","90924.00","17292.00","6385.91","118.52"
"Kab. Halmahera Selatan","153469905000.00","0.00","18465209000.00","171935114000.00","249.00","247378.00","8174.00","8035.15","109.31"
"Kab. Halmahera Utara","120803620000.00","1260392000.00","18096486000.00","140160498000.00","196.00","194291.00","21245.00","3891.65","124.30"
"Kab. Kepulauan Sula","48074910000.00","630196000.00","13994486000.00","62699592000.00","78.00","110507.00","8962.00","3304.32","124.53"
"Kota Tidore Kepulauan","30200905000.00","0.00","9729720000.00","39930625000.00","49.00","40260.00","1773.00","1311.96","123.39"
"Kab. Pulau Morotai","54238360000.00","0.00","11672393000.00","65910753000.00","88.00","66983.00","7762.00","2476.00","109.84"
"Kab. Pulau Taliabu","43760495000.00","0.00","10750281000.00","54510776000.00","71.00","56202.00","5722.00","1469.93","120.19"
"Kab. Lebak","209557300000.00","4096274000.00","25729623000.00","239383197000.00","340.00","1164576.00","39051.00","3365.67","84.49"
"Kab. Pandeglang","200928470000.00","3150980000.00","27105756000.00","231185206000.00","326.00","1048032.00","49635.00","2684.51","88.40"
"Kab. Serang","200928470000.00","1102843000.00","25645305000.00","227676618000.00","326.00","1435003.00","34694.00","1734.28","97.90"
"Kab. Tangerang","151620870000.00","16857743000.00","74192719000.00","242671332000.00","246.00","2087137.00","218258.00","900.66","106.46"
"Kab. Bangka","38213390000.00","787745000.00","12717854000.00","51718989000.00","62.00","196009.00","10661.00","2679.00","98.62"
"Kab. Belitung","25886490000.00","945294000.00","11973320000.00","38805104000.00","42.00","116493.00","11569.00","2266.04","98.07"
"Kab. Bangka Selatan","30817250000.00","157549000.00","11512260000.00","42487059000.00","50.00","132006.00","5557.00","2867.86","102.82"
"Kab. Bangka Tengah","34515320000.00","315098000.00","12318464000.00","47148882000.00","56.00","138576.00","11063.00","2046.22","106.75"
"Kab. Bangka Barat","36980700000.00","157549000.00","11381557000.00","48519806000.00","60.00","152927.00","4598.00","2693.16","105.06"
"Kab. Belitung Timur","24037455000.00","157549000.00","11423316000.00","35618320000.00","39.00","119807.00","8373.00","2506.91","97.50"
"Kab. Boalemo","50540290000.00","3781176000.00","18646113000.00","72967579000.00","82.00","143689.00","44471.00","1376.03","88.35"
"Kab. Gorontalo","117721895000.00","9295391000.00","43931883000.00","170949169000.00","191.00","343631.00","140883.00","1610.40","93.58"
"Kab. Pohuwato","62250845000.00","1102843000.00","15719626000.00","79073314000.00","101.00","135963.00","19350.00","4151.17","95.63"
"Kab. Bone Bolango","98615200000.00","7247254000.00","19315209000.00","125177663000.00","160.00","148547.00","44634.00","1979.88","88.27"
"Kab. Gorontalo Utara","75810435000.00","315098000.00","12744000000.00","88869533000.00","123.00","124202.00","16896.00","1685.80","98.16"
"Kab. Natuna","43144150000.00","0.00","11370644000.00","54514794000.00","70.00","44814.00","2173.00","1925.94","137.78"
"Kab. Kepulauan Anambas","32049940000.00","0.00","11437628000.00","43487568000.00","52.00","36510.00","3517.00","587.40","155.84"
"Kab. Karimun","25886490000.00","0.00","9558037000.00","35444527000.00","42.00","72540.00","3574.00","709.86","119.90"
"Kab. Lingga","46225875000.00","157549000.00","10630121000.00","57013545000.00","75.00","70020.00","7173.00","1978.24","103.10"
"Kab. Bintan","22188420000.00","0.00","8715494000.00","30903914000.00","36.00","63678.00","974.00","781.63","116.31"
"Kab. Fak Fak","87520990000.00","1102843000.00","25780402000.00","114404235000.00","142.00","43862.00","19105.00","12388.99","135.50"
"Kab. Manokwari","101080580000.00","157549000.00","21581199000.00","122819328000.00","164.00","60602.00","18062.00","8593.18","131.26"
"Kab. Sorong","139293970000.00","6301960000.00","23569004000.00","169164934000.00","226.00","45056.00","45799.00","4720.64","118.76"
"Kab. Raja Ampat","72112365000.00","0.00","18220484000.00","90332849000.00","117.00","44203.00","4988.00","7784.48","142.91"
"Kab. Sorong Selatan","74577745000.00","0.00","16378963000.00","90956708000.00","121.00","47893.00","5915.00","6764.08","125.79"
"Kab. Teluk Bintuni","70879675000.00","157549000.00","24852504000.00","95889728000.00","115.00","54561.00","8572.00","13191.81","147.63"
"Kab. Teluk Wondama","46225875000.00","0.00","14582951000.00","60808826000.00","75.00","34329.00","9259.00","3851.66","131.98"
"Kab. Kaimana","51772980000.00","0.00","26038559000.00","77811539000.00","84.00","31409.00","5480.00","16160.95","133.64"
"Kab. Maybrat","159633355000.00","0.00","16899916000.00","176533271000.00","259.00","40603.00","9076.00","5826.06","137.56"
"Kab. Tambrauw","133130520000.00","0.00","23803283000.00","156933803000.00","216.00","28978.00","8074.50","11524.45","162.05"
"Kab. Manokwari Selatan","35131665000.00","1260392000.00","14373614000.00","50765671000.00","57.00","34009.00","9805.00","2812.44","143.12"
"Kab. Pegunungan Arfak","102313270000.00","945294000.00","20846805000.00","124105369000.00","166.00","36818.00","19473.00","2541.08","213.02"
"Kab. Majene","38213390000.00","2993431000.00","12177621000.00","53384442000.00","62.00","84216.00","23593.00","848.33","80.65"
"Kab. Mamuju","54238360000.00","1260392000.00","14815979000.00","70314731000.00","88.00","183913.00","15668.00","4436.63","85.94"
"Kab. Polewali Mandar","88753680000.00","8980293000.00","32336174000.00","130070147000.00","144.00","393793.00","94438.00","1630.33","83.04"
"Kab. Mamasa","103545960000.00","3938725000.00","16962086000.00","124446771000.00","168.00","176628.00","29024.00","2798.75","95.27"
"Kab. Pasangkayu","36364355000.00","472647000.00","11599240000.00","48436242000.00","59.00","170307.00","9931.00","2859.92","83.38"
"Kab. Mamuju Tengah","33282630000.00","787745000.00","11155629000.00","45226004000.00","54.00","142913.00","7616.00","2988.41","86.08"
"Kab. Bulungan","45609530000.00","0.00","21987035000.00","67596565000.00","74.00","87526.00","4726.00","13558.67","107.51"
"Kab. Malinau","67181605000.00","157549000.00","51580070000.00","118919224000.00","109.00","76836.00","6342.00","42620.70","111.61"
"Kab. Nunukan","142992040000.00","0.00","23808479000.00","166800519000.00","232.00","103467.00","9590.00","13667.72","114.33"
"Kab. Tana Tidung","19723040000.00","0.00","14512339000.00","34235379000.00","32.00","23639.00","1338.00","5072.50","143.23"
