,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
524,Kab. Teluk Wondama,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"49,42",-,"41,64","59,48","54,34","49,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
525,Kab. Kaimana,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"50,28",-,"70,21","67,15","52,57","62,99",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
526,Kab. Maybrat,-,WTP,Tepat Waktu,Belum e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"58,94",-,"49,56","61,88","91,72","49,87",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
527,Kab. Tambrauw,-,WTP,Tepat Waktu,Belum e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,19",-,"51,06","38,06","73,18","58,87",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
528,Kab. Manokwari Selatan,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,52",-,"54,51","56,51","84,06","57,02",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
529,Kab. Pegunungan Arfak,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"47,12",-,"46,77","45,54","49,41","45,96",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
530,Provinsi Sulawesi Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"66,52",-,"51,28","62,58","65,95","73,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
531,Kab. Majene,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,49",-,"69,83","55,97","71,16","78,67",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
532,Kab. Mamuju,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,96",-,"60,78","69,32","60,52","64,58",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
533,Kab. Polewali Mandar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,93",-,"57,16","76,33","46,16","82,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
534,Kab. Mamasa,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,17",-,"46,64","60,07","70,65","65,76",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
535,Kab. Pasangkayu,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"68,59",-,"62,50","41,12","72,95","59,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
536,Kab. Mamuju Tengah,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"71,29",-,"56,72","75,10","67,10","63,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
537,Provinsi Kalimantan Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,62",-,"52,95","63,24","56,52","59,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
538,Kab. Bulungan,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"45,20",-,"69,67","56,88","63,18","71,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
539,Kab. Malinau,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"51,13",-,"44,47","64,63","60,49","59,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
540,Kab. Nunukan,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,74",-,"66,15","49,65","70,84","64,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
541,Kota Tarakan,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"40,88",-,"48,25","64,17","71,19","52,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
542,Kab. Tana Tidung,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"70,19",-,"56,48","47,16","56,59","64,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
