,Kode Daerah,Daerah,Belanja Pegawai,Penduduk,Luas Daratan,Luas Lautan,Total Luas Wilayah,IKK,IPM,PDRB per kapita,PAD,DBH Pajak,DBH SDA,Alokasi DAU
440,2510,Kab. Maluku Barat Daya,172963385480.00,74581.00,4581.06,10563.08,15144.14,131.14,61.55,21651710.59,54506738664.68,10866618588.00,8126401650.00,548488720000.00
441,2511,Kab. Buru Selatan,128362497262.00,76724.00,3780.56,2194.49,5975.05,133.18,64.42,17569233.28,16092629886.12,6382769908.00,3144248515.00,413367941000.00
442,2600,Provinsi Papua,710089345200.00,4354468.00,319036.05,86796.93,405832.98,208.90,60.84,32345866.07,2027638465326.97,210211963101.00,398016429522.00,2391513927000.00
443,2601,Kab. Biak Numfor,233041607414.00,145707.00,2602.00,3900.79,6502.79,129.53,72.57,35958984.77,111837784374.91,10651979160.00,28421895821.00,549977773000.00
444,2602,Kab. Jayapura,222342302670.00,171256.00,11157.15,697.56,11854.71,120.87,71.84,91290312.24,103441918382.37,14116672654.00,38513330601.00,649247680000.00
445,2603,Kab. Jayawijaya,175226663084.00,272618.00,7030.66,0,7030.66,295.03,57.79,29700702.41,60722419246.74,12569892396.00,37359207043.00,684439004000.00
446,2604,Kab. Merauke,285906693344.00,227922.00,44071.00,5840.30,49911.30,150.93,69.98,67232919.80,172836634014.97,37378262060.00,36640847685.00,1158161374000.00
447,2605,Kab. Mimika,242257008212.00,311211.00,21633.00,2781.65,24414.65,125.93,74.13,42198671.90,310708662344.45,302634606434.00,1004311585309.00,569067026000.00
448,2606,Kab. Nabire,242141289886.00,172190.00,11112.61,3704.77,14817.38,138.70,68.53,51550961.96,60821259227.12,11774715190.00,47242523713.00,683701072000.00
449,2607,Kab. Paniai,115641031618.00,121136.00,6525.25,0,6525.25,229.51,56.58,22815425.30,22771599329.00,9043387528.00,41011965046.00,556719745000.00
450,2608,Kab. Puncak Jaya,107868787376.00,218562.00,4989.51,0,4989.51,449.51,48.33,6332967.24,10060826781.35,8578715063.00,37712107643.00,713321681000.00
451,2609,Kab. Kepulauan Yapen                              ,196798955330.00,112931.00,2050.00,4664.16,6714.16,142.53,67.76,36038129.57,46070769753.83,9278756983.00,28445039662.00,529881230000.00
452,2610,Kota Jayapura,238331641886.00,422165.00,935.92,409.24,1345.16,120.20,80.16,74917842.46,235147029261.71,26480233498.00,28456589733.00,599692171000.00
453,2611,Kab. Sarmi,93583721926.00,41285.00,17742.00,2626.73,20368.73,138.83,63.45,66617160.79,15789221790.40,13382722381.00,45334569878.00,652457027000.00
454,2612,Kab. Keerom,153355089794.00,63923.00,8390.00,0,8390.00,134.14,66.59,41935443.50,26382782889.82,10279965401.00,48228823791.00,508416806000.00
455,2613,Kab. Yahukimo,130459434454.00,354468.00,17152.00,0,17152.00,192.81,49.25,6740487.09,32684022130.23,11120010597.00,28811415402.00,718684414000.00
456,2614,Kab. Pegunungan Bintang,113005682672.00,111565.00,15682.00,0,15682.00,356.01,45.21,17013886.61,20646056389.21,11339092634.00,38881132652.00,789928649000.00
457,2615,Kab. Tolikara,120137372100.00,250392.00,5588.13,0,5588.13,336.37,49.68,6337447.50,9430002510.45,9160508597.00,38266458697.00,700414831000.00
458,2616,Kab. Boven Digoel,108131029416.00,63562.00,27108.00,0,27108.00,159.84,61.51,58292414.28,33656960384.11,14704431826.00,31863701245.00,771368712000.00
459,2617,Kab. Mappi,141645264188.00,107493.00,24118.00,786.69,24904.69,152.02,58.30,27401180.93,30758734980.42,10811406340.00,28759445102.00,720381030000.00
460,2618,Kab. Asmat,120531665172.00,107684.00,31983.69,1628.02,33611.71,179.68,50.37,22750148.35,31370871536.58,10486779270.00,28929361519.00,842863076000.00
461,2619,Kab. Waropen,101319671918.00,35964.00,10977.09,1216.63,12193.72,143.27,65.34,56257795.32,3324844159.00,15011956855.00,29280098011.00,539908850000.00
462,2620,Kab. Supiori,113777375012.00,24244.00,678.32,2107.42,2785.74,130.43,62.30,41758729.94,9287462223.03,7371122190.00,28467861769.00,421838061000.00
463,2621,Kab. Mamberamo Raya,74888757272.00,38203.00,23813.91,1688.50,25502.41,184.27,52.20,43115242.63,7331322105.00,12553148201.00,30356837571.00,689337679000.00
464,2622,Kab. Mamberamo Tengah,81612336998.00,48197.00,1275.00,0,1275.00,391.82,47.23,23991810.71,21037018637.00,6870350836.00,28445030913.00,612307434000.00
465,2623,Kab. Yalimo,76632721206.00,103523.00,1253.00,0,1253.00,349.27,48.08,11495009.85,22191042813.60,6790649547.00,28445030913.00,580573236000.00
466,2624,Kab. Lanny Jaya,114611851018.00,201534.00,2248.00,0,2248.00,317.27,48.00,8905622.10,26144000477.74,6785623865.00,28445030913.00,617363510000.00
467,2625,Kab. Nduga,54612887980.00,110062.00,2168.00,0,2168.00,297.45,30.75,11051019.85,9833770962.73,7194611773.00,28445171803.00,578934519000.00
468,2626,Kab. Dogiyai,98272968148.00,114752.00,4237.40,0,4237.40,213.51,55.41,11147979.57,8597146006.00,7607555201.00,28445030913.00,469388923000.00
469,2627,Kab. Puncak ,82275394774.00,175782.00,8055.00,0,8055.00,492.62,42.70,7969778.61,10657413154.97,9370082442.00,28445030913.00,760545035000.00
470,2628,Kab. Intan Jaya,68544731802.00,135307.00,3922.02,0,3922.02,438.39,47.51,9063107.65,12729091645.88,10130365606.00,37174173369.00,649873770000.00
471,2629,Kab. Deiyai,76680863568.00,90830.00,537.39,0,537.39,229.01,50.11,15121734.44,2591919064.18,8336571855.00,28445030913.00,461840722000.00
472,2700,Provinsi Maluku Utara,446365863052.00,1318178.00,31982.50,88743.05,120725.55,120.52,68.70,24806326.36,433448363469.52,21917174935.00,57848746438.00,1262976766000.00
473,2701,Kab. Halmahera Tengah,134123848474.00,58613.00,2653.76,3709.43,6363.19,134.50,65.55,33958739.66,46609855548.99,7706341637.00,57393580937.00,424488322000.00
474,2702,Kota Ternate,275954431260.00,220147.00,111.39,1256.54,1367.93,121.76,80.03,47654914.37,105903491250.12,12522827239.00,11230179282.00,608090902000.00
475,2703,Kab. Halmahera Barat,220730915058.00,135859.00,1704.20,1479.95,3184.15,113.88,65.34,15858353.01,34781858227.11,6960083361.00,17254333684.00,471390557000.00
476,2704,Kab. Halmahera Timur,144832670780.00,95752.00,6571.37,3551.51,10122.88,119.37,66.74,23475868.04,55120233296.96,8534144864.00,51438594350.00,457734823000.00
477,2705,Kab. Halmahera Selatan,229197928912.00,252357.00,8148.90,14146.46,22295.36,114.61,64.11,17815019.72,58523669503.84,9744798223.00,69200538206.00,716679456000.00
478,2706,Kab. Halmahera Utara,201081977494.00,200333.00,3896.90,2608.52,6505.42,110.60,67.75,18783327.40,111709167435.47,13501845411.00,25543389086.00,464956164000.00
479,2707,Kab. Kepulauan Sula,169612428186.00,105739.00,3304.32,3350.20,6654.52,129.16,63.64,20802742.93,33834314579.22,7933970187.00,26711257863.00,464778311000.00
480,2708,Kota Tidore Kepulauan,228061630532.00,115089.00,1645.73,1198.81,2844.54,118.58,70.83,24512043.00,67775406786.00,8025202275.00,11518511513.00,520766918000.00
481,2709,Kab. Pulau Morotai,110408010678.00,74782.00,2476.00,2226.95,4702.95,114.32,62.38,19838550.31,35417864456.11,6373852566.00,19788072505.00,372428984000.00
482,2710,Kab. Pulau Taliabu,57702447104.00,59507.00,1469.93,2721.48,4191.41,130.81,60.62,22028481.25,7134684793.23,6477552189.00,41588771063.00,339125513000.00
483,2800,Provinsi Banten,628002175430.00,11042523.00,9662.92,11120.36,20783.28,97.05,72.44,42060617.15,7022648001774.81,533885079239.00,3212827594.00,1105866293000.00
484,2801,Kab. Lebak,587382524414.00,1314863.00,3426.56,542.93,3969.49,90.46,63.88,19087932.34,334722736899.84,52729363659.00,1870054388.00,1046531357000.00
485,2802,Kab. Pandeglang,654292912976.00,1233581.00,2746.89,2821.74,5568.63,94.99,64.91,20070032.76,218326857973.91,48106182270.00,7297227055.00,1146165603000.00
486,2803,Kab. Serang,608260822088.00,1488922.00,1734.28,1139.59,2873.87,94.35,66.38,27386553.82,705281901421.00,61669323629.00,1842617486.00,1052850904000.00
487,2804,Kab. Tangerang,680193571164.00,2833080.00,1011.86,169.78,1181.64,101.41,71.93,32791266.61,2812933124762.00,160484375585.00,1602889923.00,1148970079000.00
488,2805,Kota Cilegon,305634956212.00,427266.00,175.50,260.81,436.31,97.72,73.01,112948258.88,634798056162.00,96543890961.00,1582740490.00,605455422000.00
489,2806,Kota Tangerang,497788854148.00,1791018.00,153.93,0,153.93,101.49,78.43,70683343.55,2027112805905.00,222843851419.00,1582740490.00,854592265000.00
