,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
457,Kab. Pegunungan Bintang,-,WDP,Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
458,Kab. Tolikara,-,TMP,Tidak Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
459,Kab. Boven Digoel,-,TMP,Tidak Tepat Waktu,Menggunakan,Belum Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
460,Kab. Mappi,-,TMP,Tidak Tepat Waktu,Belum Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
461,Kab. Asmat,-,WTP,Tepat Waktu,Belum Menggunakan,Belum Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
462,Kab. Waropen,-,TMP,Tidak Tepat Waktu,Belum Menggunakan,Belum Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak
463,Kab. Supiori,-,WDP,Tidak Tepat Waktu,Belum Menggunakan,Belum Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
464,Kab. Mamberamo Raya,-,TMP,Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
465,Kab. Mamberamo Tengah,-,TMP,Tidak Tepat Waktu,Menggunakan,Menggunakan,Tidak Memenuhi Kriteria Utama,-,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
466,Kab. Yalimo,-,WTP,Tepat Waktu,Menggunakan,Menggunakan,Memenuhi Kriteria Utama,-,-,Tidak,Tidak,"14.889.631.000,00",Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,Tidak,-,Tidak,Tidak,-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
